Facility Name,City,State,AOR,Avg Length of Stay (days),No ICE Threat Level Population,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim
ADAMS COUNTY DET CENTER,NATCHEZ,MS,NOL,52,2118,32,2105,0,0
ADELANTO ICE PROCESSING CENTER,ADELANTO,CA,LOS,22,112,169,75,2,7
ALAMANCE COUNTY DETENTION FACILITY,GRAHAM,NC,ATL,3,18,12,7,0,0
ALLEGANY COUNTY JAIL,BELMONT,NY,BUF,10,3,0,0,0,2
ANCHORAGE CORRECTIONAL COMPLEX,ANCHORAGE,AK,SEA,13,4,2,2,0,0
ALLEN PARISH PUBLIC SAFETY COMPLEX,OBERLIN,LA,NOL,67,141,51,116,0,0
BAKER COUNTY SHERIFF DEPT.,MACCLENNY,FL,MIA,35,185,141,51,23,21
SOUTH LOUISIANA ICE PROCESSING CENTER,BASILE,LA,NOL,38,748,4,5,128,719
BLUEBONNET DETENTION FACILITY,ANSON,TX,DAL,30,708,335,485,14,55
BOONE COUNTY JAIL,BURLINGTON,KY,CHI,39,93,108,37,4,1
ATLANTA US PEN,ATLANTA,GA,ATL,18,55,23,34,0,0
BERLIN FED. CORR. INST.,BERLIN,NH,BOS,36,75,23,69,0,0
BROOKLYN MDC,BROOKLYN,NY,NYC,7,3,1,3,0,0
HONOLULU FEDERAL DETENTION CENTER,HONOLULU,HI,SFR,43,17,19,11,1,4
LEAVENWORTH US PENITENTIARY,LEAVENWORTH,KS,CHI,25,22,21,12,0,0
MIAMI FEDERAL DETENTION,MIAMI,FL,MIA,33,136,98,81,0,0
FDC PHILADELPHIA,PHILADELPHIA,PA,PHI,9,38,21,25,0,0
BOURBON CO DET CENTER,PARIS,KY,CHI,4,1,0,1,0,0
BROWARD COUNTY JAIL,FT.LAUDERDALE,FL,MIA,1,1,0,1,0,0
BROOME COUNTY JAIL,BINGHAMPTON,NY,BUF,5,3,0,2,0,0
BUFFALO SERVICE PROCESSING CENTER,BATAVIA,NY,BUF,49,436,249,309,0,0
BURLEIGH COUNTY,BISMARCK,ND,SPM,11,1,1,1,0,0
BUTLER COUNTY JAIL,HAMILTON,OH,DET,25,71,23,54,1,7
MESA VERDE ICE PROCESSING CENTER,BAKERSFIELD,CA,SFR,95,35,56,10,1,5
DESERT VIEW ANNEX,ADELANTO,CA,LOS,42,371,136,263,0,0
CALHOUN COUNTY CORRECTIONAL CENTER,BATTLE CREEK,MI,DET,39,113,46,78,3,12
CAROLINE DETENTION FACILITY,BOWLING GREEN,VA,WAS,50,225,127,145,8,6
CASS COUNTY JAIL,PLATTSMOUTH,NE,SPM,9,2,3,1,0,0
COASTAL BEND DETENTION FACILITY,ROBSTOWN,TX,HLG,3,15,5,11,0,2
"CCA, FLORENCE CORRECTIONAL CENTER",FLORENCE,AZ,PHO,60,319,262,148,0,0
T DON HUTTO DETENTION CENTER,TAYLOR,TX,SNA,52,192,226,173,0,0
NORTHEAST OHIO CORRECTIONAL CENTER,YOUNGSTOWN,OH,DET,23,69,28,55,0,0
OTAY MESA DETENTION CENTER,SAN DIEGO,CA,SND,30,1142,180,852,17,221
CHASE COUNTY JAIL,COTTONWOOD FALL,KS,CHI,22,77,50,38,4,4
CHIPPEWA COUNTY SSM,SAULT STE MARIE,MI,DET,46,24,11,18,0,0
CIBOLA COUNTY CORRECTIONAL CENTER,MILAN,NM,ELP,39,211,35,188,0,0
CLARK COUNTY JAIL (IN),JEFFERSONVILLE,IN,CHI,26,15,2,3,6,10
CLAY COUNTY JUSTICE CENTER,BRAZIL,IN,CHI,18,194,130,96,8,6
CLINTON COUNTY JAIL,PLATTSBURGH,NY,BUF,10,4,0,0,1,3
CLINTON COUNTY JAIL,FRANKFORT,IN,CHI,7,2,1,1,0,0
CLINTON COUNTY CORRECTIONAL FACILITY,MCELHATTAN,PA,PHI,54,48,67,7,3,2
COLLIER COUNTY NAPLES JAIL CENTER,NAPLES,FL,MIA,2,11,6,5,0,0
CAMPBELL CO DET CTR,NEWPORT,KY,CHI,23,15,9,11,0,2
NORTHWEST ICE PROCESSSING CENTER,TACOMA,WA,SEA,68,837,377,559,43,73
CUMBERLAND COUNTY JAIL,PORTLAND,ME,BOS,39,41,22,20,4,8
DAKOTA COUNTY JAIL,DAKOTA CITY,NE,SPM,15,15,11,4,0,1
DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,DALLAS,TX,DAL,1,7,3,4,0,0
DENVER CONTRACT DETENTION FACILITY,AURORA,CO,DEN,69,907,302,735,20,49
DELANEY HALL DETENTION FACILITY,NEWARK,NJ,NEW,16,85,17,64,1,6
DODGE COUNTY JAIL,JUNEAU,WI,CHI,37,78,80,26,0,1
ELOY FEDERAL CONTRACT FACILITY,ELOY,AZ,PHO,40,1090,178,516,88,535
EDEN DETENTION CTR,EDEN,TX,DAL,26,102,12,93,0,0
EAST HIDALGO DETENTION CENTER,LA VILLA,TX,HLG,4,6,5,5,0,1
EL VALLE DETENTION FACILITY,RAYMONDVILLE,TX,HLG,32,707,136,264,23,363
ELIZABETH CONTRACT DETENTION FACILITY,ELIZABETH,NJ,NEW,17,250,61,199,2,16
EL PASO SERVICE PROCESSING CENTER,EL PASO,TX,ELP,22,504,271,254,57,139
EL PASO SOFT SIDED FACILITY,EL PASO,TX,ELP,4,84,33,69,1,7
ERIE COUNTY JAIL,ERIE,PA,PHI,7,8,2,6,0,0
ETOWAH COUNTY JAIL (ALABAMA),GADSDEN,AL,NOL,5,21,9,10,1,2
FAYETTE COUNTY DETENTION CENTER,LEXINGTON,KY,CHI,2,1,1,0,0,0
FOLKSTON ANNEX IPC,FOLKSTON,GA,ATL,43,240,64,196,0,0
FOLKSTON MAIN IPC,FOLKSTON,GA,ATL,42,554,169,429,0,0
FLORENCE SERVICE PROCESSING CENTER,FLORENCE,AZ,PHO,13,326,85,274,0,0
FLOYD COUNTY JAIL,ROME,GA,ATL,2,1,0,1,0,0
FREEBORN COUNTY ADULT DETENTION CENTER,ALBERT LEA,MN,SPM,43,59,43,33,0,0
PRINCE EDWARD COUNTY (FARMVILLE),FARMVILLE,VA,WAS,46,406,285,241,0,0
FLORENCE STAGING FACILITY,FLORENCE,AZ,PHO,2,155,60,99,2,4
GEAUGA COUNTY JAIL,CHARDON,OH,DET,47,34,14,18,1,7
GRAND FORKS COUNTY CORRECTIONAL FACILITY,GRAND FORKS,ND,SPM,6,4,2,2,0,0
GLADES COUNTY DETENTION CENTER,MOORE HAVEN,FL,MIA,17,49,35,28,0,0
GOLDEN STATE ANNEX,MCFARLAND,CA,SFR,83,410,292,283,0,0
GRAYSON COUNTY JAIL,LEITCHFIELD,KY,CHI,13,33,5,2,15,24
GREENE COUNTY JAIL,SPRINGFIELD,MO,CHI,21,86,48,47,3,7
JTF CAMP SIX,FPO,FL,MIA,10,7,8,6,0,0
MIGRANT OPS CENTER MAIN A,FPO,FL,MIA,12,11,1,10,0,0
DEPARTMENT OF CORRECTIONS HAGATNA,HAGATNA,GU,SFR,42,2,4,1,0,0
HARDIN COUNTY JAIL,ELDORA,IA,SPM,17,4,3,2,0,1
HANCOCK COUNTY PUBLIC SAFETY COMPLEX,BAY ST. LOUIS,MS,NOL,2,18,5,11,0,2
HENDERSON DETENTION,HENDERSON,NV,SLC,23,42,34,17,9,6
HOUSTON CONTRACT DETENTION FACILITY,HOUSTON,TX,HOU,50,748,47,436,24,301
HOPKINS COUNTY JAIL,MADISONVILLE,KY,CHI,13,12,7,9,0,2
IMPERIAL REGIONAL DETENTION FACILITY,CALEXICO,CA,SND,61,595,88,506,1,57
JOE CORLEY PROCESSING CTR,CONROE,TX,HOU,44,707,86,692,0,0
JEFFERSON COUNTY JAIL,RIGBY,ID,SLC,3,4,3,1,0,0
CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),JENA,LA,NOL,52,900,475,625,0,0
ALEXANDRIA STAGING FACILI,ALEXANDRIA,LA,NOL,3,193,139,171,0,0
JACKSON PARISH CORRECTIONAL CENTER,JONESBORO,LA,NOL,35,997,41,976,1,4
KANDIYOHI COUNTY JAIL,WILLMAR,MN,SPM,47,96,70,55,8,4
KAY CO JUSTICE FACILITY,NEWKIRK,OK,CHI,24,77,47,53,0,0
KENTON COUNTY JAIL,COVINGTON,KY,CHI,15,4,3,4,0,0
KNOX COUNTY DETENTION FACILITY,KNOXVILLE,TN,NOL,3,17,9,7,1,1
KARNES COUNTY IMMIGRATION PROCESSING CENTER,KARNES CITY,TX,SNA,31,757,35,515,9,228
KROME NORTH SERVICE PROCESSING CENTER,MIAMI,FL,MIA,17,671,439,368,1,0
LAKE COUNTY JAIL,TAVARES,FL,MIA,2,1,0,1,0,0
LAUREL COUNTY SHERIFFS JAIL,LONDON,KY,CHI,3,2,1,0,0,1
WINN CORRECTIONAL CENTER,WINNFIELD,LA,NOL,67,1310,331,1154,1,0
LEXINGTON COUNTY JAIL,LEXINGTON,SC,ATL,2,4,2,2,0,0
LIMESTONE COUNTY DETENTION CENTER,GROESBECK,TX,HOU,11,32,9,24,0,0
LINCOLN COUNTY JAIL,NORTH PLATTE,NE,SPM,6,3,2,2,0,1
LINN COUNTY JAIL,CEDAR RAPIDS,IA,SPM,8,2,2,1,0,0
LAREDO PROCESSING CENTER,LAREDO,TX,HLG,31,330,0,4,20,323
LA SALLE COUNTY REGIONAL DETENTION CENTER,ENCINAL,TX,SNA,24,59,6,56,0,0
LUBBOCK COUNTY DETENTION CENTER,LUBBOCK,TX,DAL,2,1,1,1,0,0
MADISON COUNTY JAIL,CANTON,MS,NOL,2,4,2,2,0,0
MAHONING COUNTY JAIL,YOUNGSTOWN,OH,DET,18,19,3,14,1,3
MARION COUNTY JAIL,INDIANAPOLIS,IN,CHI,14,30,18,18,0,0
MILLER COUNTY JAIL,TEXARKANA,AR,NOL,2,1,1,1,0,0
MONROE COUNTY DETENTION-DORM,MONROE,MI,DET,39,87,14,81,0,0
SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE),SAIPAN,MP,SFR,44,3,3,2,0,1
MOSHANNON VALLEY PROCESSING CENTER,PHILIPSBURG,PA,PHI,62,951,695,557,26,22
MONTGOMERY ICE PROCESSING CENTER,CONROE,TX,HOU,30,641,587,430,44,62
MUSCATINE COUNTY JAIL,MUSCATINE,IA,SPM,17,5,3,2,0,1
NASSAU COUNTY CORRECTIONAL CENTER,EAST MEADOW,NY,NYC,2,10,3,7,0,0
NORTH LAKE CORRECTIONAL F,BALDWIN,MI,DET,9,7,2,7,0,0
NEVADA SOUTHERN DETENTION CENTER,PAHRUMP,NV,SLC,30,205,195,108,0,0
NEW HANOVER COUNTY JAIL,CASTLE HAYNE,NC,ATL,2,1,1,0,0,0
CORR. CTR OF NORTHWEST OHIO,STRYKER,OH,DET,27,16,7,10,1,4
CIMMARRON CORR FACILITY,CUSHING,OK,DAL,19,93,28,75,0,0
OLDHAM COUNTY JAIL,LA GRANGE,KY,CHI,11,26,20,15,0,1
ORANGE COUNTY JAIL (FL),ORLANDO,FL,MIA,2,10,3,5,1,1
ORANGE COUNTY JAIL (NY),GOSHEN,NY,NYC,42,74,72,40,0,0
OTERO COUNTY PROCESSING CENTER,CHAPARRAL,NM,ELP,32,706,154,497,7,138
OZARK COUNTY SHERIFF'S OFFICE,GAINESVILLE,MO,CHI,1,2,1,1,0,0
PICKENS COUNTY DET CTR,CARROLLTON,AL,NOL,3,33,14,16,2,2
PENNINGTON COUNTY JAIL (SOUTH DAKOTA),RAPID CITY,SD,SPM,6,1,1,1,0,0
PHELPS COUNTY JAIL (MO),ROLLA,MO,CHI,13,10,4,5,0,1
PHELPS COUNTY JAIL (NE),HOLDREGE,NE,SPM,38,24,23,5,1,0
PORT ISABEL SPC,LOS FRESNOS,TX,HLG,14,853,137,832,1,1
PIKE COUNTY JAIL,LORDS VALLEY,PA,PHI,42,148,71,111,0,0
PINELLAS COUNTY JAIL,CLEARWATER,FL,MIA,2,9,4,4,0,1
PINE PRAIRIE ICE PROCESSING CENTER,PINE PRAIRIE,LA,NOL,11,614,277,442,0,1
PLATTE COUNTY JAIL,WHEATLAND,WY,DEN,2,1,1,1,0,0
PLYMOUTH COUNTY CORRECTIONAL FACILITY,PLYMOUTH,MA,BOS,37,355,142,272,0,1
IAH SECURE ADULT DETENTION FACILITY (POLK),LIVINGSTON,TX,HOU,38,686,101,666,0,0
POLK COUNTY JAIL,DES MOINES,IA,SPM,30,31,29,7,0,0
POTTAWATTAMIE COUNTY JAIL,COUNCIL BLUFFS,IA,SPM,22,25,29,5,1,1
PRAIRIELAND DETENTION CENTER,ALVARADO,TX,DAL,21,603,274,417,24,40
PUTNAM COUNTY SHERIFF,COOKEVILLE,TN,NOL,2,2,1,1,0,0
ROBERT A DEYTON DETENTION FACILITY,LOVEJOY,GA,ATL,2,7,3,4,0,0
RIO GRANDE DETENTION CENTER,LAREDO,TX,HLG,36,568,34,565,0,0
RIVER CORRECTIONAL CENTER,FERRIDAY,LA,NOL,80,505,24,496,0,0
RICHWOOD CORRECTIONAL CENTER,MONROE,LA,NOL,44,813,49,72,20,726
SARPY COUNTY JAIL,PAPILLION,NE,SPM,12,1,2,0,0,0
SEBASTIAN COUNTY DETENTION CENTER,FORT SMITH,AR,NOL,2,1,1,0,0,0
SENECA COUNTY JAIL,TIFFIN,OH,DET,40,39,32,19,2,1
SHERBURNE COUNTY JAIL,ELK RIVER,MN,SPM,23,32,26,18,1,1
SAN JUAN STAGING,GUAYNABO,PR,MIA,3,6,2,4,0,0
SAN LUIS REGIONAL DETENTION CENTER,SAN LUIS,AZ,SND,13,146,22,106,2,30
SALT LAKE COUNTY METRO JAIL,SALT LAKE CITY,UT,SLC,2,5,4,1,0,0
SOUTH TEXAS ICE PROCESSING CENTER,PEARSALL,TX,SNA,55,1222,383,1142,27,23
ST. CLAIR COUNTY JAIL,PORT HURON,MI,DET,43,54,20,46,0,0
DILLEY IMMIGRATION PROCESSING CENTER,DILLEY,TX,SNA,16,61,0,26,0,34
STE. GENEVIEVE COUNTY SHERIFF/JAIL,STE. GENEVIEVE,MO,CHI,14,15,6,9,0,1
STRAFFORD COUNTY CORRECTIONS,DOVER,NH,BOS,63,75,44,41,6,8
STEWART DETENTION CENTER,LUMPKIN,GA,ATL,52,1360,710,824,48,165
SWEETWATER COUNTY JAIL,ROCK SPRINGS,WY,DEN,3,1,1,1,0,0
TWO BRIDGES REGIONAL JAIL,WISCASSET,ME,BOS,36,6,5,5,0,0
"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,ELP,39,405,65,364,0,0
TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),TULSA,OK,DAL,5,33,12,19,1,2
UINTA COUNTY JAIL,EVANSTON,WY,DEN,3,1,0,1,0,0
CHITTENDEN REGIONAL CORRECTIONAL FACILITY,SOUTH BURLINGTON,VT,BOS,4,3,0,0,0,3
NORTHWEST STATE CORRECTIONAL CENTER,SWANTON,VT,BOS,5,7,0,6,0,0
WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR,NOL,2,3,1,2,0,0
WASHOE COUNTY JAIL,RENO,NV,SLC,8,8,7,2,0,0
WAUKESHA COUNTY JAIL,WAUKESHA,WI,CHI,2,1,1,1,0,0
BROWARD TRANSITIONAL CENTER,POMPANO BEACH,FL,MIA,26,540,111,386,15,72
WEBB COUNTY DETENTION CENTER (CCA),LAREDO,TX,HLG,31,312,49,280,5,26
WALTON COUNTY JAIL,DEFUNIAK SPRINGS,FL,MIA,2,3,1,2,0,0
WOODBURY COUNTY JAIL,SIOUX CITY,IA,SPM,14,9,8,4,0,1
NORTHERN REGIONAL JAIL,MOUNDSVILLE,WV,PHI,3,1,0,1,0,0
SOUTH CENTRAL REGIONAL JAIL,CHARLESTON,WV,PHI,8,7,5,5,0,0
WYATT DETENTION CENTER,CENTRAL FALLS,RI,BOS,42,91,53,51,2,2
